측정소명,년,월,PM2.5,PM10
3공단,2020,1,21.09348441926345,40.02167630057804
3공단,2020,2,21.75340393343419,43.43051359516616
3공단,2020,3,19.27517730496454,46.18502824858757
3공단,2020,4,17.82894736842105,46.64817518248175
3공단,2020,5,16.53900709219858,36.5663338088445
3공단,2020,6,18.279239766081872,31.285714285714285
3공단,2020,7,13.545968882602546,23.26086956521739
3공단,2020,8,14.134615384615383,28.38472622478386
3공단,2020,9,15.554733727810651,35.87905604719764
3공단,2020,10,15.52932551319648,38.47197640117994
3공단,2020,11,18.654490106544905,42.922374429223744
3공단,2020,12,20.595170454545453,44.22727272727273
3공단,2020,13,17.731963662806592,38.10697640135397
3공단,2021,1,18.638297872340427,48.86221590909091
3공단,2021,2,23.551020408163264,50.92018779342723
3공단,2021,3,21.78984485190409,66.91643059490085
3공단,2021,4,19.67489114658926,56.85880640465793
3공단,2021,5,19.908045977011493,51.38528138528139
3공단,2021,6,19.28919330289193,39.07738998482549
3공단,2021,7,11.536067892503535,30.75813295615276
3공단,2021,8,14.398860398860398,32.679943100995736
3공단,2021,9,13.027696793002915,25.574780058651022
3공단,2021,10,17.03370786516854,28.610169491525426
3공단,2021,11,21.27058823529412,44.29098966026588
3공단,2021,12,19.650887573964496,41.89861751152074
3공단,2021,13,18.31409185980787,43.15274540427461
3공단,2022,1,20.672292545710267,41.063380281690144
3공단,2022,2,20.80907668231612,42.461172741679874
3공단,2022,3,22.783592644978786,53.0468085106383
3공단,2022,4,17.644640234948604,47.4639175257732
3공단,2022,5,18.913597733711047,43.21888412017167
3공단,2022,6,14.579795021961932,27.01468428781204
3공단,2022,7,15.44206008583691,24.92651296829971
3공단,2022,8,9.98868458274399,21.15220483641536
3공단,2022,9,11.85483870967742,30.128398791540786
3공단,2022,10,17.533333333333335,31.770981507823613
3공단,2022,11,25.25567322239032,44.28983308042488
3공단,2022,12,21.133235724743777,38.16398243045388
3공단,2022,13,18.05090171019604,37.05839675689362
3공단,2023,1,25.466954022988507,49.94428152492669
3공단,2023,2,24.339314845024468,47.74213836477988
3공단,2023,3,26.30185979971388,74.09285714285714
3공단,2023,4,24.986322188449847,78.76979472140762
3공단,2023,5,17.445095168374817,42.77142857142857
3공단,2023,6,14.784313725490197,35.770270270270274
3공단,2023,7,13.602510460251048,
3공단,2023,8,11.864904552129222,
3공단,2023,9,9.835843373493976,28.732394366197184
3공단,2023,10,15.311077389984826,39.92172523961661
3공단,2023,11,18.79153605015674,37.20289855072464
3공단,2023,12,21.90775988286969,43.0377358490566
3공단,2023,13,18.719790954910604,47.79855246012652
3공단,2024,1,21.539772727272727,39.5997171145686
3공단,2024,2,20.94359756097561,38.36913767019667
3공단,2024,3,24.298571428571428,54.66382978723404
3공단,2024,4,28.68545994065282,77.67058823529412
3공단,2024,5,18.67799113737076,39.52923976608187
3공단,2024,6,19.32017543859649,37.52692867540029
3공단,2024,7,12.98019801980198,25.759154929577463
3공단,2024,8,13.726375176304655,27.227080394922424
3공단,2024,9,12.384853168469862,28.26488095238096
3공단,2024,10,14.406515580736544,32.58215297450425
3공단,2024,11,18.29051094890511,37.575182481751824
3공단,2024,12,17.729957805907173,34.26300984528832
3공단,2024,13,18.581998244463765,39.41924190226674
4공단,2020,1,23.586059743954483,46.15578635014837
4공단,2020,2,22.130699088145896,46.79331306990881
4공단,2020,3,18.5597667638484,44.57367668097282
4공단,2020,4,15.396170839469807,47.00147275405008
4공단,2020,5,14.640718562874252,39.13988095238095
4공단,2020,6,15.220588235294118,29.93302180685358
4공단,2020,7,9.643835616438356,14.494736842105263
4공단,2020,8,15.334890965732088,19.39935587761675
4공단,2020,9,14.631911532385466,24.09950248756219
4공단,2020,10,18.640350877192983,36.048529411764704
4공단,2020,11,26.790868924889544,45.31964809384164
4공단,2020,12,28.331902718168813,41.54503816793893
4공단,2020,13,18.57564698903285,36.208663541262005
4공단,2021,1,25.5320970042796,
4공단,2021,2,25.585826771653544,41.27214170692432
4공단,2021,3,22.911016949152543,61.172413793103445
4공단,2021,4,16.774774774774773,42.04210526315789
4공단,2021,5,17.73833097595474,45.16925246826517
4공단,2021,6,17.502255639097744,25.98765432098765
4공단,2021,7,8.80731364275668,21.95601173020528
4공단,2021,8,9.682748538011696,27.924501424501425
4공단,2021,9,10.706521739130435,16.670146137787057
4공단,2021,10,13.317211948790897,26.28022759601707
4공단,2021,11,21.026706231454007,36.43175074183976
4공단,2021,12,20.306818181818183,32.03267045454545
4공단,2021,13,17.490968533072905,34.26717051248496
4공단,2022,1,25.95427728613569,35.74743024963289
4공단,2022,2,22.46069182389937,33.08188976377953
4공단,2022,3,22.18687589158345,43.92927864214993
4공단,2022,4,15.686764705882354,36.05270863836017
4공단,2022,5,15.224550898203592,34.63932107496464
4공단,2022,6,10.823788546255509,24.83016105417277
4공단,2022,7,10.445714285714285,23.28045325779037
4공단,2022,8,7.697014925373134,20.549562682215743
4공단,2022,9,7.661016949152542,18.145454545454545
4공단,2022,10,10.501436781609195,24.75744680851064
4공단,2022,11,21.365030674846626,39.58054711246201
4공단,2022,12,19.880851063829788,33.99148936170213
4공단,2022,13,15.824001152707128,30.71547859926628
4공단,2023,1,22.970760233918128,40.32531824611033
4공단,2023,2,24.51648351648352,40.59717868338558
4공단,2023,3,21.46110325318246,59.236879432624114
4공단,2023,4,17.572727272727274,65.13030746705711
4공단,2023,5,13.541055718475072,35.50142857142857
4공단,2023,6,10.717320261437909,23.54585798816568
4공단,2023,7,14.255847953216374,22.432814710042432
4공단,2023,8,12.413953488372092,22.78726708074534
4공단,2023,9,11.821114369501466,23.22125181950509
4공단,2023,10,16.061971830985915,29.52742616033755
4공단,2023,11,19.610787172011666,31.40497076023392
4공단,2023,12,22.96614950634697,37.58732394366197
4공단,2023,13,17.325772881388236,35.94150207194147
4공단,2024,1,24.09985935302391,37.26863572433193
4공단,2024,2,18.953242835595777,32.36992481203008
4공단,2024,3,20.021156558533143,48.907042253521126
4공단,2024,4,19.75225225225225,49.74324324324324
4공단,2024,5,14.13677811550152,25.518463810930577
4공단,2024,6,14.676384839650146,25.79883381924198
4공단,2024,7,10.03954802259887,17.026798307475318
4공단,2024,8,10.647390691114245,18.12729844413013
4공단,2024,9,9.704411764705885,17.505139500734213
4공단,2024,10,12.233473980309425,22.696202531645568
4공단,2024,11,17.380323054331864,28.687224669603523
4공단,2024,12,19.406779661016948,30.41242937853108
4공단,2024,13,15.9209667607195,29.505103041284897
가거도,2020,9,,
가거도,2020,10,,
가거도,2020,11,,
가거도,2020,12,,
가거도,2020,13,,
가거도,2021,1,19.294520547945204,45.62914862914863
가거도,2021,2,29.39460370994941,50.31871838111299
가거도,2021,3,34.46209912536443,92.59297218155196
가거도,2021,4,17.62272727272727,42.14393939393939
가거도,2021,5,19.24517087667162,50.95096582466567
가거도,2021,6,14.624808575803982,24.50911854103344
가거도,2021,7,13.603563474387528,20.75049115913556
가거도,2021,8,12.416024653312787,19.863636363636363
가거도,2021,9,12.685847589424572,24.651975683890576
가거도,2021,10,11.122377622377622,29.424825174825173
가거도,2021,11,20.69624060150376,44.207207207207205
가거도,2021,12,19.725925925925925,38.15629742033384
가거도,2021,13,18.741159164616175,40.26660799670673
가거도,2022,1,20.4267053701016,37.13458755426917
가거도,2022,2,23.84664536741214,40.82747603833866
가거도,2022,3,20.68148148148148,41.91503267973856
가거도,2022,4,17.296296296296298,34.37717908082409
가거도,2022,5,14.09722222222222,23.358711566617863
가거도,2022,6,7.066666666666666,12.742251223491028
가거도,2022,7,13.761431411530817,16.585798816568047
가거도,2022,8,9.645833333333334,12.62646566164154
가거도,2022,9,19.84959349593496,30.70721649484536
가거도,2022,10,17.139800285306706,31.51925820256776
가거도,2022,11,20.3704974271012,33.804794520547944
가거도,2022,12,14.8719723183391,35.49135446685879
가거도,2022,13,16.58784547297721,29.25751052552573
가거도,2023,1,18.3477537437604,44.33188405797102
가거도,2023,2,21.69391025641025,38.7948717948718
가거도,2023,3,22.666666666666668,53.08271787296898
가거도,2023,4,24.23348694316436,70.64451313755796
가거도,2023,5,15.0859375,28.596371882086167
가거도,2023,6,9.707936507936507,15.096121416526138
가거도,2023,7,8.872979214780601,14.305835010060362
가거도,2023,8,11.147058823529411,18.317715959004392
가거도,2023,9,13.775401069518717,24.20825852782765
가거도,2023,10,15.972463768115942,31.85631349782293
가거도,2023,11,19.711684370257966,37.262518968133534
가거도,2023,12,25.74781341107872,46.26929133858268
가거도,2023,13,17.246924356268295,35.23053445528446
가거도,2024,1,23.47605224963716,38.969565217391306
가거도,2024,2,25.33489096573209,41.86854460093897
가거도,2024,3,27.27627627627628,48.68665667166417
